output_x,output_y,output_z,time
-2.5,-1.04,0.28,5
-2.5,-1.18,0.28,34
-2.57,-1.11,0.28,49
-2.64,-1.04,0.28,64
-2.64,-1.11,0.21,79
-2.57,-1.04,0.35,103
-2.57,-1.11,0.28,130
-2.64,-1.11,0.35,155
-2.71,-1.04,0.35,181
-2.57,-1.11,0.28,207
-2.57,-1.11,0.35,233
-2.57,-1.11,0.28,260
-2.64,-1.04,0.35,285
-2.64,-1.11,0.42,311
-2.57,-1.11,0.28,337
-2.57,-1.11,0.28,363
-2.64,-1.11,0.28,389
-2.64,-1.18,0.35,415
-2.71,-1.18,0.35,441
-2.71,-1.04,0.35,467
-2.64,-1.04,0.28,493
-2.57,-1.18,0.28,519
-2.57,-1.04,0.28,545
-2.64,-1.11,0.35,571
-2.57,-1.04,0.35,598
-2.57,-1.11,0.42,623
-2.64,-1.04,0.35,649
-2.57,-1.04,0.35,675
-2.5,-1.18,0.21,701
-2.64,-1.11,0.28,728
-2.57,-1.11,0.35,753
-2.64,-0.97,0.28,779
-2.5,-1.04,0.28,805
-2.64,-1.04,0.35,831
-2.64,-1.04,0.21,857
-2.71,-1.04,0.28,883
-2.64,-1.11,0.28,909
-2.64,-1.11,0.28,935
-2.57,-1.11,0.42,961
-2.57,-1.11,0.35,987
-2.5,-1.18,0.35,1013
-2.64,-1.04,0.35,1040
-2.57,-1.04,0.35,1068
-2.57,-1.11,0.28,1094
-2.64,-1.04,0.35,1121
-2.57,-1.18,0.35,1148
-2.57,-0.97,0.35,1175
-2.64,-1.11,0.35,1203
-2.57,-1.04,0.28,1229
-2.57,-1.11,0.35,1257
-2.64,-1.04,0.35,1284
-2.5,-1.11,0.35,1310
-2.57,-1.18,0.28,1338
-2.57,-1.04,0.28,1364
-2.64,-1.04,0.35,1392
-2.57,-1.11,0.28,1419
-2.5,-1.11,0.35,1445
-2.57,-1.11,0.35,1473
-2.57,-1.04,0.35,1500
-2.64,-1.04,0.28,1527
-2.64,-1.11,0.28,1554
-2.57,-1.11,0.35,1581
-2.64,-1.04,0.35,1608
-2.57,-1.11,0.28,1635
-2.5,-1.11,0.28,1662
